siren,adresse_ligne1,adresse_ligne2,adresse_ligne3,adress_nettoyee,adresse_regex
487622797,,7 Rue Caraman,BP 67131, 7 RUE CARAMAN BP 67131,CARAMAN$
841846488,43 Rue du Professeur Bergonié,,,43 RUE DU PROFESSEUR BERGONIE  ,PROFESSEUR$|BERGONIE$
324958198,,6 Zone Industrielle les Gabares,, 6 ZONE INDUSTRIELLE LES GABARES ,ZONE$|INDUSTRIELLE$|GABARES$
812461218,7 Rue de l'Ancienne Eglise,,,7 RUE DE L ANCIENNE EGLISE  ,ANCIENNE$|EGLISE$
850414509,2 Rue des Maronniers,,,2 RUE DES MARONNIERS  ,MARONNIERS$
830090478,,540 rue du Docteur Donnadieu,Res les Clos les Chênes Villa 106, 540 RUE DU DOCTEUR DONNADIEU RES LES CLOS LES CHENES VILLA 106,DOCTEUR$|DONNADIEU$|RES$|CLOS$|CHENES$
381055581,,2 rue Stephanopoli 3 rue Fesch,, 2 RUE STEPHANOPOLI 3 RUE FESCH ,STEPHANOPOLI$|FESCH$
848023602,,12 rue des Châtaigniers,, 12 RUE DES CHATAIGNIERS ,CHATAIGNIERS$
412719692,,"le Petit Guelen - 5, route de Kerdroniou",QUIMPER, LE PETIT GUELEN   5  ROUTE DE KERDRONIOU QUIMPER,PETIT$|GUELEN$|KERDRONIOU$|QUIMPER$
311094718,,,VATTEVILLE LA RUE,  VATTEVILLE LA RUE,VATTEVILLE$
843727959,96 boulevard de la liberté,,,96 BOULEVARD DE LA LIBERTE  ,LIBERTE$
428072458,,1687 Chemin Fontanieu,, 1687 CHEMIN FONTANIEU ,FONTANIEU$
751531476,,20 Avenue Jean Jaurès,, 20 AVENUE JEAN JAURES ,JEAN$|JAURES$
421197591,72 rue Claude Bernard,,,72 RUE CLAUDE BERNARD  ,CLAUDE$|BERNARD$
785035601,15 Rue JACQUES KELLENER,,,15 RUE JACQUES KELLENER  ,JACQUES$|KELLENER$
448061358,,130 Route du Bayard,, 130 ROUTE DU BAYARD ,BAYARD$
809034994,,16 rue Dominique Ingres,, 16 RUE DOMINIQUE INGRES ,DOMINIQUE$|INGRES$
789949617,,6 le Rouerthais,, 6 LE ROUERTHAIS ,ROUERTHAIS$
480988740,,750 Rue du Dauphiné,, 750 RUE DU DAUPHINE ,DAUPHINE$
400597944,2 BIS Rue EMILE ZOLA,,,2 BIS RUE EMILE ZOLA  ,EMILE$|ZOLA$
433105335,  Chalet Les Platanes, Le Cernix,,  CHALET LES PLATANES  LE CERNIX ,CHALET$|PLATANES$|CERNIX$
519619266,,87 place d'Erlon,, 87 PLACE D ERLON ,ERLON$
848914602,,187 Avenue Jean Chaptal,, 187 AVENUE JEAN CHAPTAL ,JEAN$|CHAPTAL$
834038549,,3 Rue Achille Viadieu,Apt 27 Etg 7, 3 RUE ACHILLE VIADIEU APT 27 ETG 7,ACHILLE$|VIADIEU$|APT$|ETG$
337837009,9 Rue DE MORA,,,9 RUE DE MORA  ,MORA$
820248847,rue du Camping,,,RUE DU CAMPING  ,CAMPING$
504814229,16 rue Jean Bologne,,,16 RUE JEAN BOLOGNE  ,JEAN$|BOLOGNE$
499801785,,16 route de la Grande Champagne,, 16 ROUTE DE LA GRANDE CHAMPAGNE ,GRANDE$|CHAMPAGNE$
811751973,42 rue Pierre Larousse,,,42 RUE PIERRE LAROUSSE  ,PIERRE$|LAROUSSE$
821552833, Centre Commercial Rosny 2, Avenue du Général de Gaulle,, CENTRE COMMERCIAL ROSNY 2  AVENUE DU GENERAL DE GAULLE ,CENTRE$|COMMERCIAL$|ROSNY$|GENERAL$|GAULLE$
423123710,17 avenue Gambetta,,,17 AVENUE GAMBETTA  ,GAMBETTA$
832940118,87 Quai de Queyries, Bâtiment C Lot N 18,,87 QUAI DE QUEYRIES  BATIMENT C LOT N 18 ,QUEYRIES$|BATIMENT$|LOT$
839941879,12 Rue Hélène Vagliano,,,12 RUE HELENE VAGLIANO  ,HELENE$|VAGLIANO$
782596670,,Quartier Saint-Antoine,route Départementale 560, QUARTIER SAINT ANTOINE ROUTE DEPARTEMENTALE 560,SAINT$|ANTOINE$|DEPARTEMENTALE$
434883872,,4 rue de Valmy,, 4 RUE DE VALMY ,VALMY$
958703563,,,HAMEAU DE LA GIANDOLA,  HAMEAU DE LA GIANDOLA,GIANDOLA$
812631521,Lieudit Casso,,,LIEUDIT CASSO  ,LIEUDIT$|CASSO$
839124732,121 Avenue de Mazargues,,,121 AVENUE DE MAZARGUES  ,MAZARGUES$
838877678,87 Rue du Mont-Cenis,,Lanslebourg-Mont-Cenis,87 RUE DU MONT CENIS  LANSLEBOURG MONT CENIS,MONT$|CENIS$|LANSLEBOURG$|MONT$|CENIS$
433772522,,7 place de la Demi-lune,Gerland, 7 PLACE DE LA DEMI LUNE GERLAND,DEMI$|LUNE$|GERLAND$
843581182,14 Rue de l'usine à gaz,,,14 RUE DE L USINE A GAZ  ,USINE$|GAZ$
500488937,,Quartier la Plaine,, QUARTIER LA PLAINE ,
439927849,,420 avenue des Narcisses,, 420 AVENUE DES NARCISSES ,NARCISSES$
423825538,,17 RUE de Périgueux,, 17 RUE DE PERIGUEUX ,PERIGUEUX$
799514369,36 boulevard de Clichy,,,36 BOULEVARD DE CLICHY  ,CLICHY$
524414885,134 rue de Rennes,,,134 RUE DE RENNES  ,RENNES$
332011287,,34 route de Montréal,, 34 ROUTE DE MONTREAL ,MONTREAL$
844538504,17 Rue Alexandr eMari, CS 49701,,17 RUE ALEXANDR EMARI  CS 49701 ,ALEXANDR$|EMARI$|CS$
535013726,,8 rue Duparquier,, 8 RUE DUPARQUIER ,DUPARQUIER$
807701164,,10 rue Zamenhof,, 10 RUE ZAMENHOF ,ZAMENHOF$
382963635,1 Avenue JEAN JACQUES,,PERRON,1 AVENUE JEAN JACQUES  PERRON,JEAN$|JACQUES$|PERRON$
809528607,,17 rue de l'Eglise,, 17 RUE DE L EGLISE ,EGLISE$
442014197,,2 bis Route de Vevy,Crançot, 2 BIS ROUTE DE VEVY CRANCOT,VEVY$|CRANCOT$
809011877,65 Avenue de Colmar, Tour Albert 1er,,65 AVENUE DE COLMAR  TOUR ALBERT 1ER ,COLMAR$|TOUR$|ALBERT$|ER$
442214326,9 Rue du Passavent, ZAC du Val d'Orson,,9 RUE DU PASSAVENT  ZAC DU VAL D ORSON ,PASSAVENT$|ZAC$|VAL$|ORSON$
477886584,14 Boulevard Sébastopol,,,14 BOULEVARD SEBASTOPOL  ,SEBASTOPOL$
395292063,34 rue Pasteur,,,34 RUE PASTEUR  ,PASTEUR$
811608215,,1230 Route de Valence,Lieudit Les Bavorgnes, 1230 ROUTE DE VALENCE LIEUDIT LES BAVORGNES,VALENCE$|LIEUDIT$|BAVORGNES$
801367806,152 Boulevard Théophile Sueur,,,152 BOULEVARD THEOPHILE SUEUR  ,THEOPHILE$|SUEUR$
823042411,,1 ter Rue des Frères Lumière,, 1 TER RUE DES FRERES LUMIERE ,TER$|FRERES$|LUMIERE$
817778913,10 Rue de l'Ecole,,,10 RUE DE L ECOLE  ,ECOLE$
789722196,6 Rue Saint-Sauveur,,,6 RUE SAINT SAUVEUR  ,SAINT$|SAUVEUR$
817524630,5 cité Dupetit Thouars,,,5 CITE DUPETIT THOUARS  ,DUPETIT$|THOUARS$
388719841,38 Rue des Renouilleres, Bâtiment C Ornano 3,,38 RUE DES RENOUILLERES  BATIMENT C ORNANO 3 ,RENOUILLERES$|BATIMENT$|ORNANO$
818004004,106 Avenue du Général Leclerc,,,106 AVENUE DU GENERAL LECLERC  ,GENERAL$|LECLERC$
838660397,,26 Rue de Thibert,, 26 RUE DE THIBERT ,THIBERT$
403904519,,24 rue de la République,, 24 RUE DE LA REPUBLIQUE ,REPUBLIQUE$
451544175,,Cornassac,, CORNASSAC ,CORNASSAC$
829901057,,405 Chemin des Bartets,, 405 CHEMIN DES BARTETS ,BARTETS$
834785891,,26 rue du Bourg,, 26 RUE DU BOURG ,BOURG$
852043207,23 rue des Pies Vagabondes,,,23 RUE DES PIES VAGABONDES  ,PIES$|VAGABONDES$
848587382,,78 Rue des Coteaux,, 78 RUE DES COTEAUX ,COTEAUX$
809140965,263 rue du Faubourg Saint-Antoine,,,263 RUE DU FAUBOURG SAINT ANTOINE  ,SAINT$|ANTOINE$
431965102,305  CHEMIN DES GROULES,,RIVE D'AZUR,305  CHEMIN DES GROULES  RIVE D AZUR,GROULES$|RIVE$|AZUR$
838760411,,9 Rue de l'Eglise,, 9 RUE DE L EGLISE ,EGLISE$
380060160,13 Rue de Clamart,,,13 RUE DE CLAMART  ,CLAMART$
401967443,9 Allée Bertrand Ségur,,,9 ALLEE BERTRAND SEGUR  ,ALLEE$|BERTRAND$|SEGUR$
821694908,20 Rue LAVOISIER,,,20 RUE LAVOISIER  ,LAVOISIER$
851023382,,Montchouvet,, MONTCHOUVET ,MONTCHOUVET$
824921282,6-8 Avenue Henriette,,,6 8 AVENUE HENRIETTE  ,HENRIETTE$
812027423,,1 Place du Professeur Pierre Daudet,, 1 PLACE DU PROFESSEUR PIERRE DAUDET ,PROFESSEUR$|PIERRE$|DAUDET$
800192098,6-8 rue de Belfort,,,6 8 RUE DE BELFORT  ,BELFORT$
879143006,5 rue Cochin,,,5 RUE COCHIN  ,COCHIN$
832242648,,160 chemin de Saint-Brès,, 160 CHEMIN DE SAINT BRES ,SAINT$|BRES$
827693904,,Galinières,, GALINIERES ,GALINIERES$
814131900,48 rue de Wattignies,,,48 RUE DE WATTIGNIES  ,WATTIGNIES$
753254697,,45 Allée du Mens,, 45 ALLEE DU MENS ,ALLEE$|MENS$
438005910,1 Impasse Georges Brassens,,,1 IMPASSE GEORGES BRASSENS  ,GEORGES$|BRASSENS$
789601838,11 rue Léontine,,,11 RUE LEONTINE  ,LEONTINE$
320387483,,36 rue Saint-Guilhem,, 36 RUE SAINT GUILHEM ,SAINT$|GUILHEM$
972708226,  LIEUDIT FUM ORTA,,,  LIEUDIT FUM ORTA  ,LIEUDIT$|FUM$|ORTA$
484698865,1 Rue Saint-Louis,,,1 RUE SAINT LOUIS  ,SAINT$|LOUIS$
800569790,,25 Place GAMAY,, 25 PLACE GAMAY ,GAMAY$
813030822,,14 rue de Bernay,, 14 RUE DE BERNAY ,BERNAY$
323084236,17 Place DEGAS,,,17 PLACE DEGAS  ,DEGAS$
833551187,32 boulevard de Strasbourg,,,32 BOULEVARD DE STRASBOURG  ,STRASBOURG$
844642140,231 rue Saint-Honoré,,,231 RUE SAINT HONORE  ,SAINT$|HONORE$
841430804,9 Rue des Capucines,,,9 RUE DES CAPUCINES  ,CAPUCINES$
751250259,29 ter Boulevard de Verdun,,,29 TER BOULEVARD DE VERDUN  ,TER$|VERDUN$
848262424,,5 Impasse de l'Hôpital Saint Jacques,, 5 IMPASSE DE L HOPITAL SAINT JACQUES ,HOPITAL$|SAINT$|JACQUES$
798305116,19  Bis rue du huit mai 1945,,,19  BIS RUE DU HUIT MAI 1945  ,HUIT$|MAI$
490137445,,496 route de la Pompignane,les Portes du Millénaire Bat C, 496 ROUTE DE LA POMPIGNANE LES PORTES DU MILLENAIRE BAT C,POMPIGNANE$|PORTES$|MILLENAIRE$|BAT$
838547784,,rue de Hasting,Village Guillaume le Conquérant, RUE DE HASTING VILLAGE GUILLAUME LE CONQUERANT,HASTING$|GUILLAUME$|CONQUERANT$
833261548,24 Rue du sous Lt Alexis le Calvez,,,24 RUE DU SOUS LT ALEXIS LE CALVEZ  ,SOUS$|LT$|ALEXIS$|CALVEZ$
441986254,,RTE DE MAUVEZIN,, RTE DE MAUVEZIN ,RTE$|MAUVEZIN$
819027582,25 rue Tronchet,,,25 RUE TRONCHET  ,TRONCHET$
841722549,,4 rue Sainte-Anne,, 4 RUE SAINTE ANNE ,SAINTE$|ANNE$
444811921,,2 Chemin DES THUYATS,, 2 CHEMIN DES THUYATS ,THUYATS$
504891052,29 Chemin du Vinaigrier, Résidence Blanche de Castille,,29 CHEMIN DU VINAIGRIER  RESIDENCE BLANCHE DE CASTILLE ,VINAIGRIER$|BLANCHE$|CASTILLE$
878393727,,9 Place de la République,, 9 PLACE DE LA REPUBLIQUE ,REPUBLIQUE$
321498453,"10,12 Rue DES GAUDINES",,,10 12 RUE DES GAUDINES  ,GAUDINES$
334912557,,Rue DE L HORLOGE - VEZENOBRE,, RUE DE L HORLOGE   VEZENOBRE ,HORLOGE$|VEZENOBRE$
801535238,98 Rue de Rennes, Centre Commercial Vert Galant,,98 RUE DE RENNES  CENTRE COMMERCIAL VERT GALANT ,RENNES$|CENTRE$|COMMERCIAL$|VERT$|GALANT$
424968642,8 Allée des Noisetiers,,,8 ALLEE DES NOISETIERS  ,ALLEE$|NOISETIERS$
484945829,,24 Rue du Lt Colonel Girard,, 24 RUE DU LT COLONEL GIRARD ,LT$|COLONEL$|GIRARD$
539700930,201 Rue Rosenberg,,,201 RUE ROSENBERG  ,ROSENBERG$
838314615,,2229 route de Darnétal,, 2229 ROUTE DE DARNETAL ,DARNETAL$
878768423,,141 boulevard Lafayette,, 141 BOULEVARD LAFAYETTE ,LAFAYETTE$
432254555,,37 rue des Genêts,, 37 RUE DES GENETS ,GENETS$
303775027,2 Place Jean Millier, La Défense,,2 PLACE JEAN MILLIER  LA DEFENSE ,JEAN$|MILLIER$|DEFENSE$
662021369,20 passage Saint-Sébastien,,,20 PASSAGE SAINT SEBASTIEN  ,SAINT$|SEBASTIEN$
850578675,12 rue Notre-Dame des Champs,,,12 RUE NOTRE DAME DES CHAMPS  ,DAME$|CHAMPS$
534112461,,22 Avenue de Saint Cizy,, 22 AVENUE DE SAINT CIZY ,SAINT$|CIZY$
450771407,12 Square du Doyen Yves Milon,,,12 SQUARE DU DOYEN YVES MILON  ,DOYEN$|YVES$|MILON$
813820909,parc du Haut Touquet Bâtiment D 68 rue de Wambrechies,,,PARC DU HAUT TOUQUET BATIMENT D 68 RUE DE WAMBRECHIES  ,PARC$|HAUT$|TOUQUET$|BATIMENT$|WAMBRECHIES$
412884157,,25 GRAND RUE,BESSAN, 25 GRAND RUE BESSAN,GRAND$|BESSAN$
356000000,,1 rue Eugène Desteuque,, 1 RUE EUGENE DESTEUQUE ,EUGENE$|DESTEUQUE$
794025510,28 Rue CAPORAL MARCEL SICARD,,,28 RUE CAPORAL MARCEL SICARD  ,CAPORAL$|MARCEL$|SICARD$
378256986,202 Rue DE PARIS,,,202 RUE DE PARIS  ,PARIS$
451970644,  Min Saint Augustin, C/o STEF,,  MIN SAINT AUGUSTIN  C O STEF ,MIN$|SAINT$|AUGUSTIN$|STEF$
850301151,,26 rue Mustel,, 26 RUE MUSTEL ,MUSTEL$
879560811,,17 Avenue de Clavères,, 17 AVENUE DE CLAVERES ,CLAVERES$
849141882,,507 Rue Stéphane Hessel,ZAC de la Blanche Tâche, 507 RUE STEPHANE HESSEL ZAC DE LA BLANCHE TACHE,STEPHANE$|HESSEL$|ZAC$|BLANCHE$|TACHE$
528750029,,25 boulevard Jacques Monod,, 25 BOULEVARD JACQUES MONOD ,JACQUES$|MONOD$
792691339,15 avenue de l'Opéra,,,15 AVENUE DE L OPERA  ,OPERA$
851760090,132 avenue du Général Leclerc,,,132 AVENUE DU GENERAL LECLERC  ,GENERAL$|LECLERC$
334334869,,ZONE ARTISANALE,CADENET, ZONE ARTISANALE CADENET,ZONE$|ARTISANALE$|CADENET$
507640944,20 rue Moreau,,,20 RUE MOREAU  ,MOREAU$
821578341,90 Boulevard ANATOLE FRANCE,,,90 BOULEVARD ANATOLE FRANCE  ,ANATOLE$|FRANCE$
834041105,11 Rue du Maréchal Bessières,,,11 RUE DU MARECHAL BESSIERES  ,MARECHAL$|BESSIERES$
419732532,97 Rue DE PARIS,,,97 RUE DE PARIS  ,PARIS$
844682062,28 rue de la Prévoyance,,,28 RUE DE LA PREVOYANCE  ,PREVOYANCE$
493253835,54 Rue Émile Zola,,,54 RUE EMILE ZOLA  ,EMILE$|ZOLA$
818238370,Millénaire 1,35 rue de la Gare,,MILLENAIRE 1 35 RUE DE LA GARE ,MILLENAIRE$|GARE$
433424884,,7A Rue du Moulin,C.C.A.S., 7A RUE DU MOULIN C C A S ,MOULIN$
843499534,,10 Square des Déportés,, 10 SQUARE DES DEPORTES ,DEPORTES$
450668793,,23 RUE DU PARC DES BOURINS,VICHY, 23 RUE DU PARC DES BOURINS VICHY,PARC$|BOURINS$|VICHY$
380413021,,65 Route de Faverges,, 65 ROUTE DE FAVERGES ,FAVERGES$
821294030,160 boulevard Haussmann,,,160 BOULEVARD HAUSSMANN  ,HAUSSMANN$
478725625,rue Georges Pompidou,,,RUE GEORGES POMPIDOU  ,GEORGES$|POMPIDOU$
803015403,,Route de Narbonne,lieu-dit les Hourtoulanes, ROUTE DE NARBONNE LIEU DIT LES HOURTOULANES,NARBONNE$|LIEU$|DIT$|HOURTOULANES$
751046475,1 rue Sabine,,,1 RUE SABINE  ,SABINE$
421928789,,293 avenue de la Polonia,CS 30200, 293 AVENUE DE LA POLONIA CS 30200,POLONIA$|CS$
848003810,77BIS Rue Paul Vaillant Couturier,,,77BIS RUE PAUL VAILLANT COUTURIER  ,PAUL$|VAILLANT$|COUTURIER$
844607820,2 Avenue Benjamin Bord,,,2 AVENUE BENJAMIN BORD  ,BENJAMIN$|BORD$
529203739,27 avenue de l'Opéra,,,27 AVENUE DE L OPERA  ,OPERA$
848433835,17 Boulevard Carlone, C/o GRAA,,17 BOULEVARD CARLONE  C O GRAA ,CARLONE$|GRAA$
444867329,,39 rue Voltaire,, 39 RUE VOLTAIRE ,VOLTAIRE$
385399357,,17 avenue de la Gare,, 17 AVENUE DE LA GARE ,GARE$
850827924,35 Promenade de l'Est,,,35 PROMENADE DE L EST  ,
813078037,65 Avenue DE LA REPUBLIQUE,,,65 AVENUE DE LA REPUBLIQUE  ,REPUBLIQUE$
389888017,,,Nesle Et Massoult,  NESLE ET MASSOULT,NESLE$|MASSOULT$
831679477,,1590 chemin des Iscles,, 1590 CHEMIN DES ISCLES ,ISCLES$
388388027,,Fondgirard,, FONDGIRARD ,FONDGIRARD$
794430140,,37 rue Carnot,, 37 RUE CARNOT ,CARNOT$
798622437,,avenue de la Petre,les Villas du Lac Résidence Odalys, AVENUE DE LA PETRE LES VILLAS DU LAC RESIDENCE ODALYS,PETRE$|VILLAS$|LAC$|ODALYS$
818243537,309 Avenue Des Paluds,,,309 AVENUE DES PALUDS  ,PALUDS$
831526470,10 Rue Alberti,,,10 RUE ALBERTI  ,ALBERTI$
835078189,171 B Avenue CHARLES DE GAULLE,,,171 B AVENUE CHARLES DE GAULLE  ,CHARLES$|GAULLE$
833099294,,14 Boulevard du Roussillon,, 14 BOULEVARD DU ROUSSILLON ,ROUSSILLON$
811507904,18 Avenue Cesar BOY,,,18 AVENUE CESAR BOY  ,CESAR$|BOY$
449139211,,17 Rue Benjamin Constant,, 17 RUE BENJAMIN CONSTANT ,BENJAMIN$|CONSTANT$
434564944,,LE VILLAGE,, LE VILLAGE ,
493267959,,30 rue Liétard,, 30 RUE LIETARD ,LIETARD$
424542843,45 bis Avenue Foch,,,45 BIS AVENUE FOCH  ,FOCH$
524351244,,3 Avenue Didier Daurat,, 3 AVENUE DIDIER DAURAT ,DIDIER$|DAURAT$
319427316,,60 Avenue Gambetta,- Centre Commercial Marques Avenue Romans Phase II, 60 AVENUE GAMBETTA   CENTRE COMMERCIAL MARQUES AVENUE ROMANS PHASE II,GAMBETTA$|CENTRE$|COMMERCIAL$|MARQUES$|ROMANS$|PHASE$|II$
803522879,155 Avenue MAURICE UTRILLO,,,155 AVENUE MAURICE UTRILLO  ,MAURICE$|UTRILLO$
821263308,11 Avenue de l'Université, Résidence Monadey Apt 41,,11 AVENUE DE L UNIVERSITE  RESIDENCE MONADEY APT 41 ,UNIVERSITE$|MONADEY$|APT$
432015998,,26 rue Lieutenant Jourdren,, 26 RUE LIEUTENANT JOURDREN ,LIEUTENANT$|JOURDREN$
498680511,,Résidence Acapulco,Bâtiment B Esplanade du Nouveau Monde, RESIDENCE ACAPULCO BATIMENT B ESPLANADE DU NOUVEAU MONDE,ACAPULCO$|BATIMENT$|NOUVEAU$|MONDE$
804261998,,7 rue du Tilleul,, 7 RUE DU TILLEUL ,TILLEUL$
478395742,21 bis Rue Godefroy de Bouilloon,,,21 BIS RUE GODEFROY DE BOUILLOON  ,GODEFROY$|BOUILLOON$
852894021,,32 rue du Prieuré,, 32 RUE DU PRIEURE ,PRIEURE$
844055582,10 rue de Penthièvre,,,10 RUE DE PENTHIEVRE  ,PENTHIEVRE$
401090089,,13 Rue DE L AVENIR - ZI,, 13 RUE DE L AVENIR   ZI ,AVENIR$|ZI$
843243262,  la Fougasse,,,  LA FOUGASSE  ,FOUGASSE$
310563788,,,,  ,
349275982,,51 Cours Napoléon,, 51 COURS NAPOLEON ,NAPOLEON$
519634315,42 Rue Kruger, Croix Rouge Française,,42 RUE KRUGER  CROIX ROUGE FRANCAISE ,KRUGER$|CROIX$|ROUGE$|FRANCAISE$
448749325,,ZA,, ZA ,ZA$
851260653,,2490 route Château Mont Robert,Les Milles, 2490 ROUTE CHATEAU MONT ROBERT LES MILLES,CHATEAU$|MONT$|ROBERT$|MILLES$
342128741,,27 Chemin du Rucher,, 27 CHEMIN DU RUCHER ,RUCHER$
784300584,20 avenue de Breteuil,,,20 AVENUE DE BRETEUIL  ,BRETEUIL$
86080116,220 rue de Chemeau,,,220 RUE DE CHEMEAU  ,CHEMEAU$
834023897,45 rue Theodore Toulouse,,,45 RUE THEODORE TOULOUSE  ,THEODORE$|TOULOUSE$
503120578,,LIBRICIEL Scop,ZAC Eureka Extension - lot 3E, LIBRICIEL SCOP ZAC EUREKA EXTENSION   LOT 3E,LIBRICIEL$|SCOP$|ZAC$|EUREKA$|EXTENSION$|LOT$
381949734,276 boulevard Saint-Germain,,,276 BOULEVARD SAINT GERMAIN  ,SAINT$|GERMAIN$
385188099,116 Rue d'Antrain,,,116 RUE D ANTRAIN  ,ANTRAIN$
414645267,,Chemin des Eclozeaux,, CHEMIN DES ECLOZEAUX ,ECLOZEAUX$
800219768,,Place du Village,, PLACE DU VILLAGE ,
432036267,,LA FORTE MAISON,, LA FORTE MAISON ,FORTE$|MAISON$
519919245,,3 rue Marie Mauron,, 3 RUE MARIE MAURON ,MARIE$|MAURON$
414306753,,4  Grande Rue,, 4  GRANDE RUE ,GRANDE$
441696986,175 boulevard Brune,,,175 BOULEVARD BRUNE  ,BRUNE$
802378216,,37 rue du Chatenet,, 37 RUE DU CHATENET ,CHATENET$
834104879,7 rue Stanislas,,,7 RUE STANISLAS  ,STANISLAS$
520704495,,lieudit Porto,, LIEUDIT PORTO ,LIEUDIT$|PORTO$
481883122,,LIEUDIT VISTALE,, LIEUDIT VISTALE ,LIEUDIT$|VISTALE$
444137020,17 Avenue VICTOR HUGO,,,17 AVENUE VICTOR HUGO  ,VICTOR$|HUGO$
848224416,,164 Rue Joliot-Curie,, 164 RUE JOLIOT CURIE ,JOLIOT$|CURIE$
829530757,12 Rue Rue Anselme,,,12 RUE RUE ANSELME  ,ANSELME$
843631474,,10 chemin des Prés,, 10 CHEMIN DES PRES ,PRES$
819887092,,7 Rue du Four Banal,, 7 RUE DU FOUR BANAL ,FOUR$|BANAL$
334389574,,Lieu dit à Bidet,, LIEU DIT A BIDET ,LIEU$|DIT$|BIDET$
817457070,22 rue Archereau,,,22 RUE ARCHEREAU  ,ARCHEREAU$
450492624,,MAISON HEGUIA,, MAISON HEGUIA ,MAISON$|HEGUIA$
392955381,,20 BD. PIERRE LEFAUCHEUX,, 20 BD  PIERRE LEFAUCHEUX ,BD$|PIERRE$|LEFAUCHEUX$
850062233,,5 Rue des Acacias Zone Artisanale du Chenet,, 5 RUE DES ACACIAS ZONE ARTISANALE DU CHENET ,ACACIAS$|ZONE$|ARTISANALE$|CHENET$
803737865,,5 Chemin de Peyrandrieu,Local 14, 5 CHEMIN DE PEYRANDRIEU LOCAL 14,PEYRANDRIEU$|LOCAL$
489806109,3 Rue Léon Gambetta, Le Gambetta,,3 RUE LEON GAMBETTA  LE GAMBETTA ,LEON$|GAMBETTA$|GAMBETTA$
384273694,  Zone Industrielle des, Attignours,,  ZONE INDUSTRIELLE DES  ATTIGNOURS ,ZONE$|INDUSTRIELLE$|ATTIGNOURS$
482074275,,"A MARINASCA,GIOVICACCE",, A MARINASCA GIOVICACCE ,MARINASCA$|GIOVICACCE$
409763778,3 place Ladmirault,,,3 PLACE LADMIRAULT  ,LADMIRAULT$
803447887,351 Chemin des Plateaux,,,351 CHEMIN DES PLATEAUX  ,PLATEAUX$
841661358,Res Les Fougeres Appt 1413,20 Avenue Robert Schumann,,RES LES FOUGERES APPT 1413 20 AVENUE ROBERT SCHUMANN ,RES$|FOUGERES$|APPT$|ROBERT$|SCHUMANN$
510818990,,575 rue Jules Massenet,, 575 RUE JULES MASSENET ,JULES$|MASSENET$
818771479,42 rue Monge,,,42 RUE MONGE  ,MONGE$
823700851,21 Rue de l'Europe,,,21 RUE DE L EUROPE  ,EUROPE$
851346122,  Aeroport de Toussus le Noble, Batiment 112,,  AEROPORT DE TOUSSUS LE NOBLE  BATIMENT 112 ,AEROPORT$|TOUSSUS$|NOBLE$|BATIMENT$
834029209,4 Rue Olympe de Gouges,,,4 RUE OLYMPE DE GOUGES  ,OLYMPE$|GOUGES$
451312938,,Pont Cabioch,, PONT CABIOCH ,PONT$|CABIOCH$
840055552,20 Boulevard Longchamp,,,20 BOULEVARD LONGCHAMP  ,LONGCHAMP$
833540958,91 rue des Martyrs,,,91 RUE DES MARTYRS  ,MARTYRS$
433398088,,84 Avenue des Bruyères,, 84 AVENUE DES BRUYERES ,BRUYERES$
401797709,,5 Place Raoul Follereau,, 5 PLACE RAOUL FOLLEREAU ,RAOUL$|FOLLEREAU$
444522486,,13 rue des Rouffiats,, 13 RUE DES ROUFFIATS ,ROUFFIATS$
753910538,1 place du Maréchal Leclerc,,,1 PLACE DU MARECHAL LECLERC  ,MARECHAL$|LECLERC$
457706745,,AMBULANT DOMICILIE,42 COURS GAMBETTA, AMBULANT DOMICILIE 42 COURS GAMBETTA,AMBULANT$|DOMICILIE$|GAMBETTA$
830376745,58BIS Rue DE CHATOU,,,58BIS RUE DE CHATOU  ,CHATOU$
752262790,,86 Rue Pierre Bosson,, 86 RUE PIERRE BOSSON ,PIERRE$|BOSSON$
839870599,56 avenue de Versailles,,,56 AVENUE DE VERSAILLES  ,VERSAILLES$
520296625,5 rue rue des 2 gares,,,5 RUE RUE DES 2 GARES  ,GARES$
394182067,,4 rue de l'Eglise,, 4 RUE DE L EGLISE ,EGLISE$
532688470,,2 Route de Vourles,Bâtiment A, 2 ROUTE DE VOURLES BATIMENT A,VOURLES$|BATIMENT$
824039036,82 Boulevard HELOISE,,,82 BOULEVARD HELOISE  ,HELOISE$
538292780,3608 Avenue Lou Mistraou,,,3608 AVENUE LOU MISTRAOU  ,LOU$|MISTRAOU$
510611924,26 quai Louis Blériot,,,26 QUAI LOUIS BLERIOT  ,LOUIS$|BLERIOT$
833455884,572 Avenue de Boulac,,,572 AVENUE DE BOULAC  ,BOULAC$
482898350,,58 AV ROLAND CARRAZ,, 58 AV ROLAND CARRAZ ,AV$|ROLAND$|CARRAZ$
387498926,"  Zone Artisanele ""Le Cormier""",,,  ZONE ARTISANELE  LE CORMIER   ,ZONE$|ARTISANELE$|CORMIER$
829796291,8 Impasse Collet, Résidence Paradis,,8 IMPASSE COLLET  RESIDENCE PARADIS ,COLLET$|PARADIS$
328642079,29 rue de Paris (Ex Grande Rue) Croissy-Beaubourg,,,29 RUE DE PARIS  EX GRANDE RUE  CROISSY BEAUBOURG  ,PARIS$|EX$|GRANDE$|CROISSY$|BEAUBOURG$
